lang,pattern,replacement,note
all,"\b(100%|totally|fully|absolutely)\s+(free|safe|secure|guaranteed)\b","generally reliable","极限词：绝对化承诺"
all,"\bguaranteed\s+(income|profit|profits|results|earnings|payout|returns)\b","possible outcomes","金融类绝对化收益承诺"
all,"\bno\s+risk\b","lower risk","风险绝对化"
all,"\brisk[- ]free\b","lower risk","风险绝对化"
all,"\b(best|#1|number one|top)\s+in the world\b","widely used","世界第一类极限词"
all,"\bcure[sd]?\b","helps with","医疗断言"
all,"\bmiracle\b","notable","夸大表述"
all,"\bunlimited money\b","extra value","诱导性收益表述"
all,"\bget rich\b","build skills","诱导性收益表述"
all,"\bfree money\b","free tier credits","诱导性收益表述"
all,"\bhack(s|ing)?\b","tips","避免被判违规内容"
all,"\bunlock premium for free\b","review the free tier","盗版/破解诱导"
all,"\bbypass\s+(payment|paywall|verification)\b","review official options","盗版/破解诱导"
en,"\bcheapest ever\b","low cost","极限词"
en,"\bzero cost\b","no upfront cost","极限词"
en,"\bworks for everyone\b","works for many use cases","绝对化"
en,"\bnever fails\b","is generally stable","绝对化"
es,"\b(garantizado|garantizada)\s+(ingreso|ganancia|ganancias|resultado|resultados)\b","resultado posible","极限词：西语收益承诺"
es,"\b100\s*%\s*(gratis|seguro|garantizado)\b","con plan gratuito","西语绝对化"
es,"\bsin ningún riesgo\b","con menor riesgo","西语风险绝对化"
es,"\bel mejor del mundo\b","muy usado","西语极限词"
es,"\bcura\b","ayuda con","西语医疗断言"
es,"\bdinero gratis\b","créditos del plan gratuito","西语诱导性表述"
es,"\bhazte rico\b","desarrolla habilidades","西语诱导性表述"
id,"\b(dijamin|terjamin)\s+(penghasilan|keuntungan|hasil)\b","kemungkinan hasil","印尼语收益承诺"
id,"\b100\s*%\s*(gratis|aman|dijamin)\b","tersedia paket gratis","印尼语绝对化"
id,"\btanpa risiko\b","risiko lebih rendah","印尼语风险绝对化"
id,"\bterbaik di dunia\b","banyak dipakai","印尼语极限词"
id,"\bmenyembuhkan\b","membantu","印尼语医疗断言"
id,"\buang gratis\b","kredit paket gratis","印尼语诱导性表述"
id,"\bcepat kaya\b","tingkatkan keterampilan","印尼语诱导性表述"
