lang,slot,text
en,h2_intro,"Quick Overview"
en,h2_intro,"What This Entry Covers"
en,h2_intro,"At a Glance"
en,h2_intro,"Snapshot"
en,h2_intro,"Before You Start"
en,h2_intro,"The Short Version"
en,h2_pros,"What Works Well"
en,h2_pros,"Strong Points"
en,h2_pros,"Why Readers Pick It"
en,h2_pros,"Upsides Worth Noting"
en,h2_pros,"Where It Helps Most"
en,h2_cons,"Watch Out For"
en,h2_cons,"Limits To Keep In Mind"
en,h2_cons,"Trade-offs"
en,h2_cons,"Where It Falls Short"
en,h2_cons,"Things To Check First"
en,h2_table,"Key Details Table"
en,h2_table,"Specs At A Glance"
en,h2_table,"Comparison Sheet"
en,h2_table,"Fact Sheet"
en,h2_faq,"Common Questions"
en,h2_faq,"FAQ"
en,h2_faq,"Questions Readers Ask"
en,h2_faq,"Quick Answers"
en,h2_related,"Related Reading"
en,h2_related,"More In This Series"
en,h2_related,"Keep Exploring"
en,h2_related,"Other Entries"
en,transition,"Here is what usually matters before you commit."
en,transition,"The points below focus on everyday use rather than marketing claims."
en,transition,"Details are grouped so you can scan them in under a minute."
en,transition,"Use the list below as a checklist, not as advice."
en,transition,"Terms shift often, so treat this as a starting point."
en,transition,"Local availability and pricing in {currency} can differ by account."
en,pro_point,"Works without extra setup steps"
en,pro_point,"A free tier covers basic use before any upgrade"
en,pro_point,"Interface strings are available in the local language"
en,pro_point,"You can usually start at no cost — common free options include {payments}"
en,pro_point,"Mobile setup usually takes only a few minutes"
en,pro_point,"Pricing is shown directly in {currency}"
en,pro_point,"Core features are reachable from a browser"
en,pro_point,"Account creation does not require a long verification queue"
en,pro_point,"Documentation is short enough to read in one sitting"
en,con_point,"Some advanced options sit behind a paid plan"
en,con_point,"Support replies can be slow during peak hours"
en,con_point,"Offline access stays limited"
en,con_point,"The feature list changes often, so re-check before you rely on it"
en,con_point,"Regional availability is not guaranteed for every account type"
en,con_point,"Bulk usage may hit rate limits without notice"
en,closing,"Compare two or three options before you commit, and confirm current terms on the official page."
en,closing,"If the free tier fits your case, start there and upgrade only when a limit actually blocks you."
en,closing,"Bookmark this entry — details are refreshed as sources update."
en,closing,"Check the official page for the latest terms in {currency} before signing up."
en,disclaimer,"Details may change without notice; always confirm current terms on the official page."
en,disclaimer,"This entry summarises publicly listed information and is not professional advice."
en,disclaimer,"Availability depends on the provider's own regional rules."
en,table_head,"Aspect|Details"
en,table_head,"Item|Notes"
en,table_head,"Feature|What To Expect"
en,table_pair,"Availability|Listed by the provider, subject to provider rules"
en,table_pair,"Pricing model|Free tier plus optional paid upgrade"
en,table_pair,"Free options|{payments}"
en,table_pair,"Language support|Local language strings available"
en,table_pair,"Ease of setup|Beginner friendly, no technical steps"
en,table_pair,"Platforms|Mobile browser and desktop"
en,table_pair,"Currency shown|{currency} ({currency_code})"
en,table_pair,"Best suited for|First-time users comparing options"
en,table_pair,"Last checked|{month} {year}"
es,h2_intro,"Resumen rápido"
es,h2_intro,"Qué cubre esta ficha"
es,h2_intro,"De un vistazo"
es,h2_intro,"Panorama"
es,h2_intro,"Antes de empezar"
es,h2_intro,"La versión corta"
es,h2_pros,"Lo que funciona bien"
es,h2_pros,"Puntos fuertes"
es,h2_pros,"Por qué lo eligen"
es,h2_pros,"Ventajas a considerar"
es,h2_pros,"Dónde ayuda más"
es,h2_cons,"A qué poner atención"
es,h2_cons,"Límites a tener en cuenta"
es,h2_cons,"Contras"
es,h2_cons,"Dónde se queda corto"
es,h2_cons,"Qué revisar primero"
es,h2_table,"Tabla de datos clave"
es,h2_table,"Ficha técnica"
es,h2_table,"Hoja de comparación"
es,h2_table,"Datos rápidos"
es,h2_faq,"Preguntas frecuentes"
es,h2_faq,"Dudas comunes"
es,h2_faq,"Lo que más preguntan"
es,h2_faq,"Respuestas rápidas"
es,h2_related,"Lecturas relacionadas"
es,h2_related,"Más de esta serie"
es,h2_related,"Sigue explorando"
es,h2_related,"Otras fichas"
es,transition,"Esto es lo que suele importar antes de decidir."
es,transition,"Los puntos siguientes se centran en el uso diario, no en la publicidad."
es,transition,"Los datos están agrupados para leerlos en menos de un minuto."
es,transition,"Usa la lista como checklist, no como asesoría."
es,transition,"Las condiciones cambian seguido, tómalo como punto de partida."
es,transition,"La disponibilidad y los precios en {currency} pueden variar según la cuenta."
es,pro_point,"Funciona sin pasos de configuración extra"
es,pro_point,"Hay un plan gratuito para el uso básico antes de pagar"
es,pro_point,"La interfaz está disponible en el idioma local"
es,pro_point,"Puedes empezar gratis — las opciones gratuitas comunes incluyen {payments}"
es,pro_point,"La configuración en móvil suele tomar pocos minutos"
es,pro_point,"Los precios se muestran directamente en {currency}"
es,pro_point,"Las funciones principales se usan desde el navegador"
es,pro_point,"Crear cuenta no requiere una verificación larga"
es,pro_point,"La documentación se lee de una sola vez"
es,con_point,"Algunas opciones avanzadas quedan en el plan de pago"
es,con_point,"El soporte puede tardar en horas de mayor demanda"
es,con_point,"El acceso sin conexión sigue siendo limitado"
es,con_point,"La lista de funciones cambia seguido, conviene revisar antes de depender de ella"
es,con_point,"La disponibilidad regional no está asegurada para todo tipo de cuenta"
es,con_point,"El uso intensivo puede topar con límites sin avisar"
es,closing,"Compara dos o tres opciones antes de decidir y confirma las condiciones vigentes en la página oficial."
es,closing,"Si el plan gratuito te alcanza, empieza ahí y sube de plan solo cuando un límite te frene."
es,closing,"Guarda esta ficha: los datos se actualizan conforme cambian las fuentes."
es,closing,"Revisa la página oficial para ver las condiciones actuales en {currency} antes de registrarte."
es,disclaimer,"Los datos pueden cambiar sin aviso; confirma siempre las condiciones en la página oficial."
es,disclaimer,"Esta ficha resume información pública y no constituye asesoría profesional."
es,disclaimer,"La disponibilidad depende de las reglas regionales del proveedor."
es,table_head,"Aspecto|Detalles"
es,table_head,"Elemento|Notas"
es,table_head,"Función|Qué esperar"
es,table_pair,"Disponibilidad|Listado por el proveedor, sujeto a reglas del proveedor"
es,table_pair,"Modelo de precio|Plan gratuito más mejora opcional de pago"
es,table_pair,"Opciones gratuitas|{payments}"
es,table_pair,"Idioma|Interfaz en idioma local"
es,table_pair,"Facilidad de uso|Apto para principiantes, sin pasos técnicos"
es,table_pair,"Plataformas|Navegador móvil y escritorio"
es,table_pair,"Moneda mostrada|{currency} ({currency_code})"
es,table_pair,"Ideal para|Quien compara opciones por primera vez"
es,table_pair,"Última revisión|{month} {year}"
id,h2_intro,"Ringkasan singkat"
id,h2_intro,"Apa yang dibahas di sini"
id,h2_intro,"Sekilas info"
id,h2_intro,"Gambaran"
id,h2_intro,"Sebelum mulai"
id,h2_intro,"Versi singkatnya"
id,h2_pros,"Yang berjalan baik"
id,h2_pros,"Kelebihan utama"
id,h2_pros,"Alasan banyak dipilih"
id,h2_pros,"Nilai plus yang perlu dicatat"
id,h2_pros,"Paling membantu di sisi ini"
id,h2_cons,"Yang perlu diwaspadai"
id,h2_cons,"Batasan yang perlu diingat"
id,h2_cons,"Kekurangan"
id,h2_cons,"Bagian yang masih kurang"
id,h2_cons,"Cek dulu hal ini"
id,h2_table,"Tabel data penting"
id,h2_table,"Lembar spesifikasi"
id,h2_table,"Tabel perbandingan"
id,h2_table,"Fakta singkat"
id,h2_faq,"Pertanyaan umum"
id,h2_faq,"FAQ"
id,h2_faq,"Yang sering ditanya"
id,h2_faq,"Jawaban singkat"
id,h2_related,"Bacaan terkait"
id,h2_related,"Lainnya di seri ini"
id,h2_related,"Lanjut menjelajah"
id,h2_related,"Entri lain"
id,transition,"Berikut hal yang biasanya penting sebelum memutuskan."
id,transition,"Poin di bawah fokus pada pemakaian harian, bukan klaim promosi."
id,transition,"Data dikelompokkan agar bisa dibaca kurang dari satu menit."
id,transition,"Pakai daftar ini sebagai checklist, bukan sebagai saran."
id,transition,"Ketentuan sering berubah, jadikan ini titik awal saja."
id,transition,"Ketersediaan dan harga dalam {currency} bisa berbeda per akun."
id,pro_point,"Bisa dipakai tanpa langkah setup tambahan"
id,pro_point,"Ada paket gratis untuk pemakaian dasar sebelum upgrade"
id,pro_point,"Antarmuka tersedia dalam bahasa lokal"
id,pro_point,"Bisa mulai gratis — pilihan gratis yang umum termasuk {payments}"
id,pro_point,"Setup di ponsel biasanya hanya beberapa menit"
id,pro_point,"Harga ditampilkan langsung dalam {currency}"
id,pro_point,"Fitur inti bisa diakses dari browser"
id,pro_point,"Buat akun tidak perlu verifikasi panjang"
id,pro_point,"Dokumentasinya singkat, bisa dibaca sekali duduk"
id,con_point,"Beberapa opsi lanjutan ada di paket berbayar"
id,con_point,"Respons dukungan bisa lambat saat jam sibuk"
id,con_point,"Akses offline masih terbatas"
id,con_point,"Daftar fitur sering berubah, cek dulu sebelum diandalkan"
id,con_point,"Ketersediaan regional tidak dijamin untuk semua jenis akun"
id,con_point,"Pemakaian besar bisa kena batas tanpa pemberitahuan"
id,closing,"Bandingkan dua atau tiga pilihan sebelum memutuskan, dan cek ketentuan terbaru di halaman resmi."
id,closing,"Kalau paket gratis sudah cukup, mulai dari situ dan upgrade hanya saat benar-benar terbatas."
id,closing,"Simpan entri ini — data diperbarui mengikuti sumbernya."
id,closing,"Cek halaman resmi untuk ketentuan terbaru dalam {currency} sebelum mendaftar."
id,disclaimer,"Data bisa berubah tanpa pemberitahuan; selalu konfirmasi di halaman resmi."
id,disclaimer,"Entri ini merangkum informasi publik dan bukan saran profesional."
id,disclaimer,"Ketersediaan bergantung pada aturan regional penyedia."
id,table_head,"Aspek|Detail"
id,table_head,"Item|Catatan"
id,table_head,"Fitur|Yang bisa diharapkan"
id,table_pair,"Ketersediaan|Terdaftar oleh penyedia, tergantung aturan penyedia"
id,table_pair,"Model harga|Paket gratis plus upgrade berbayar opsional"
id,table_pair,"Opsi gratis|{payments}"
id,table_pair,"Dukungan bahasa|Tersedia bahasa lokal"
